id,rat_id,label,MeanFreq_hpc,Amplitude_hpc,AUC_hpc,Duration_hpc,Peak2Peak_hpc,Power_hpc,Entropy_hpc,NumberOfPeaks_hpc,SpecEntropy_hpc,MeanFreq_hpcbelo,Amplitude_hpcbelo,AUC_hpcbelo,Duration_hpcbelo,Peak2Peak_hpcbelo,Power_hpcbelo,Entropy_hpcbelo,NumberOfPeaks_hpcbelo,SpecEntropy_hpcbelo
36,3,0,114.43059326982328,78.59846697925306,1.2446883345447246,0.085,138.63416837781952,452.3065345317127,1.2383958368405965,10.0,4.358894970649331,10.696200222350726,438.0662205487058,17.619500993668716,0.085,600.0946219071179,59558.17338326612,0.8189555018403103,1.0,3.213166193804876
434,203,1,124.24372943833968,334.96224718048217,14.101396478983055,0.515,573.396137093921,2370.0135910147123,1.16800075226532,63.0,5.4842857276761485,6.540445734246211,1528.9582526152506,182.36109728249855,0.515,2164.896072829176,263596.4621346443,0.9936369854966578,6.0,3.156892935307573
24,9,0,133.40468062742082,38.58468261165065,0.9639352442349166,0.0666666666666666,72.52760350634553,314.983697016822,1.139495197279473,9.0,5.086913540573025,5.650021708510109,803.7055704058339,25.6616581872622,0.0666666666666666,564.9195057602028,171646.03860076074,-0.0,1.0,2.55258776071618
3,203,1,123.44550069807586,274.6645082564873,19.48824593766775,0.4566666666666666,491.00780451371816,3714.354919015806,1.1553663197455335,55.0,5.23901943856215,4.590910854029182,1508.395326628273,189.34830945698792,0.4566666666666666,2295.561306467528,323051.5685640919,0.9674320981530664,6.0,3.117515159414076
7,3,0,109.74223035761447,25.024175315678985,0.7850580923427356,0.095,42.52488838949417,105.86913912365722,1.2190672005502403,11.0,4.328885748433047,25.50249286843901,762.5812014429409,18.98431917448801,0.095,733.9092453811861,60018.91341489987,0.9348490242345946,1.0,2.9384141068990006
198,211,0,117.90779293704544,45.615311126744885,1.281625831091737,0.075,81.18659472821665,429.3243102081804,1.1256828315506748,8.0,4.397548610993111,4.722108934144915,676.3191236502039,25.412428986037845,0.075,480.6700098327557,134165.34236070208,-0.0,1.0,2.6351623482173294
3,211,0,128.88460918701244,34.1310137822956,1.1459417989806235,0.1,56.72859630236311,180.9410306613408,0.9967916319816366,12.0,4.9146385971034645,3.924548164430466,357.6073974078049,19.678806801951723,0.1,352.26377637765245,53233.89162639074,-0.0,1.0,2.8103115488007817
55,211,0,108.63950225972488,40.66851612363253,1.1659158800325529,0.0716666666666666,72.43205473870691,370.59677910233165,0.9996098363678072,7.0,4.068056235198025,3.4161973285760063,544.5961609920596,20.459992758295886,0.0716666666666666,479.3734995195945,109097.13817054254,-0.0,1.0,2.970289890564038
232,201,1,121.18764952922018,207.035325820959,16.01406975969289,0.5883333333333334,393.33452793931866,1780.164644511564,1.0497324052670176,76.0,4.55583229306081,7.098451006067404,1313.7839749007117,153.381213070632,0.5883333333333334,2281.3353222119213,150616.07923805315,0.9663637050932146,7.0,3.2665207825695712
212,211,0,116.25714683064416,80.28641254603706,1.940443323455182,0.0966666666666666,145.45948440770675,642.2436557824848,1.1081984662256323,11.0,4.398303320782368,18.23956592344904,978.0632413721816,24.555757255519087,0.0966666666666666,762.5522162923216,86223.96593557425,0.7007495497162062,2.0,2.9447857501543053
87,213,1,109.96896754762496,160.82971667259827,14.94719158187413,0.475,283.6733501057528,1887.3003268098687,1.1506102327552945,53.0,4.633768586346788,9.66263483234166,1187.8974707162847,141.89843374941043,0.475,1860.8706739961983,142251.32671466185,0.9644590583765232,7.0,3.5428653363981475
55,210,0,120.85022422131094,146.86157219906025,2.900884563845901,0.085,260.73907462595463,2205.1371370117627,0.9930554830121974,10.0,4.327943044933289,8.015599501940743,1631.4841983746744,51.06509582661431,0.085,1360.9894986887086,508387.0982058647,0.3227569588973982,1.0,2.8518027407539748
129,203,1,122.03988641874447,138.5375988554741,10.260171860265272,0.3716666666666666,241.52031765888023,1690.2228028200252,1.2115746504790734,46.0,4.020364316968762,9.003811966819866,1590.131357922319,176.68258165151755,0.3716666666666666,2799.392067970947,370311.2734198328,0.9860148986230132,5.0,2.1704753631796745
199,211,0,119.75362449548882,41.22180576090271,1.081106668502423,0.095,69.5924695449381,229.54645388459565,1.1017235165092814,11.0,4.521727378033859,7.5149210723473985,533.5869843424034,27.69513117774437,0.095,717.7297572659085,104020.3183405818,0.4854607607459134,1.0,2.741295243430381
74,4,0,126.4641055469358,116.50393563177154,2.7714292803462763,0.0916666666666666,218.5697379690277,1508.7016418863664,1.1119529773559087,11.0,4.539290641412762,7.404216041738257,735.4264012055395,38.74021970706305,0.0916666666666666,1158.102086692707,217707.5192842666,0.6429383500409614,1.0,2.7284324438017755
2,213,0,112.30671673599376,44.19124711015527,1.0835774865989745,0.075,79.87469503664734,341.47434816309857,0.9910760598382222,9.0,4.235156428129543,1.605827239411223,736.7061841925561,36.04685292365269,0.075,488.2405238639103,255212.02712812237,-0.0,1.0,2.622307532747528
