pfcshallow,hpcpyra,hpcbelo,pfcdeep,time
25.946017574216917,0.38292970836776796,6.51350853848944,30.057840350477946,0.0
25.036431010289615,0.5542398063793827,10.135823752808102,30.810902800303495,0.0016666666666666668
27.314325178853835,-1.6357262479595882,12.714960293089083,29.842742299343076,0.0033333333333333335
23.19297943443591,-2.837425415226675,14.162210895649482,26.062263557793838,0.005
21.18446075959478,2.1024605502685225,14.44187334733033,26.48562491879137,0.006666666666666667
20.63563541860934,3.2049789462557134,13.57137740403567,21.28986147111126,0.008333333333333333
20.847508803681432,-1.8806120048342148,11.618326625699483,20.77954914134668,0.01
19.44075734331793,-1.6100312296190218,8.694812712707485,22.87615994862227,0.011666666666666667
18.4300772475392,1.015685951815645,4.949596313438206,21.76424465184937,0.013333333333333334
19.491698795955266,-0.43301684476539437,0.5589176915939217,21.307223039722764,0.015000000000000001
21.960462053199926,0.29326268962630564,-4.283241447931012,22.97178216857009,0.016666666666666666
22.903989671570134,1.7214875306896817,-9.37470684742307,21.933914626542506,0.018333333333333333
26.07161823948752,-1.252257490358902,-14.513965937143452,28.391830463288734,0.02
29.139251799481304,-1.823881723191627,-19.50811216687985,29.488940057718416,0.021666666666666667
28.80720262929412,1.2269410416502173,-24.179826185757758,27.235719837291136,0.023333333333333334
25.566627731977782,1.1828830695026,-28.373308749641122,24.33028767597536,0.025
23.92109560786354,-0.19472488677811245,-31.958998138128127,24.742442667336274,0.02666666666666667
22.414815823733907,-0.8375079164773829,-34.83691092826319,22.200321481324288,0.028333333333333335
20.279984089864595,-1.4236683088795317,-36.93851085785982,19.392214777653518,0.030000000000000002
16.87625892005379,1.472570057159486,-38.22708408244004,18.9896026383079,0.03166666666666667
15.626160571836799,3.385763917461586,-38.69671580190991,18.338808006311016,0.03333333333333333
20.497737389590373,-1.8430702592881651,-38.37011225060012,18.652028586289152,0.035
20.778503131728957,-4.822518392962075,-37.29559746736109,21.657169251213062,0.03666666666666667
22.164410359378085,0.10771255535714344,-35.543605699572524,21.96413589102658,0.03833333333333334
22.973582428971227,3.7835923967435474,-33.2029357579905,23.995526722998978,0.04
24.169628536653896,2.363230795969731,-30.376953527443032,24.92860201621186,0.04166666666666667
